year,catcher,pop_time,distance,lead,sprint,is_cs,is_sb,tracked,pitchout
2021,425784,NA,47.679145970648094,30.336,28.5,0,1,0,0
2021,425784,1.423,44.23713570487856,34.876,30,0,1,1,0
2021,425784,1.433,45.67261815007077,33.407,28.1,0,1,1,0
2021,425877,2.376,62.97763132839272,23.979,27.3,0,1,1,0
2021,435559,1.659,42.2658273412369,34.781,28,0,1,1,0
2021,435559,NA,48.206776192502204,29.181,28.8,0,1,0,0
2021,435559,1.567,47.10367116473859,30.284,28.2,0,1,1,0
2021,435559,NA,37.68068324765305,40.248,26.7,0,1,0,0
2021,435559,1.478,44.65881913381962,33.418,28.1,0,1,1,0
2021,435559,NA,48.27428238999531,30.341,28.8,0,1,0,0
2021,435559,1.511,42.142389803189346,35.192,28.9,0,1,1,0
2021,444489,NA,43.270905358750014,36.353,28.1,0,1,0,0
2021,444489,1.566,48.35836622983967,30.907,28.6,0,1,1,0
2021,455117,1.456,38.86392172080137,38.897,29.8,0,1,1,0
2021,455117,NA,41.2118182758005,35.64,28.1,0,1,0,0
2021,455117,1.511,51.22984726376519,28.82,28.8,1,0,1,0
2021,455117,1.665,53.29143994608918,26.191,27.1,0,1,1,0
2021,455117,NA,44.79037238491609,32.779,28.1,0,1,0,0
2021,455139,1.59,43.16661391406915,33.291,30,0,1,1,0
2021,455139,NA,44.18148856666708,32.23,30,0,1,0,0
2021,455139,NA,48.12838007961408,32.202,27.6,0,1,0,0
2021,455139,1.557,51.381467459701085,27.905,29.7,0,1,1,0
2021,455139,NA,45.82426354793344,33.118,27.9,0,1,0,0
2021,457763,1.51,45.54418842216434,31.518,27,0,1,1,0
2021,457763,1.517,52.88188276980609,28.81,28.4,1,0,1,0
2021,457763,1.493,49.73523917532938,28.175,29,0,1,1,0
2021,457763,NA,44.67509728452881,33.104,27.7,0,1,0,0
2021,467092,NA,44.55273607925376,34.442,27.8,0,1,0,0
2021,467092,1.569,51.666954309998886,24.718,28.7,0,1,1,0
2021,467092,NA,41.540129709499276,35.699,28.1,0,1,0,0
2021,488771,1.501,47.29093225608449,32.317,27.9,0,1,1,0
2021,488771,1.542,45.30121861153062,33.119,28.7,0,1,1,0
2021,488771,NA,42.11082739639801,36.557,26.8,0,1,0,0
2021,488771,1.611,46.34862891465947,30.423,28.8,0,1,1,0
2021,488771,NA,53.927086532327465,25.097,29.1,0,1,0,0
2021,488771,NA,44.59968989695332,34.852,27.9,0,1,0,0
2021,506702,1.549,47.35429155267603,31.582,28.3,0,1,1,0
2021,506702,1.597,48.6796260091173,31.824,27.6,0,1,1,0
2021,518595,1.529,46.4137029312322,32.955,28.6,0,1,1,0
2021,518595,1.57,50.95947163508698,26.882,28.6,0,1,1,0
2021,518735,NA,36.42621788054271,41.161,29.8,0,1,0,0
2021,518735,NA,47.72076076510767,31.575,28.9,0,1,0,0
2021,518735,NA,49.62751832243302,29.894,29.4,0,1,0,0
2021,518735,NA,69.50850118848261,17.237,28.6,0,1,0,0
2021,518735,NA,40.358362910101945,38.074,27.8,0,1,0,0
2021,518735,NA,38.03579390798379,40.99,28,0,1,0,0
2021,518735,1.716,52.68950991639131,27.555,26.6,1,0,1,0
2021,518735,1.606,54.76117160239164,25.407,28.9,0,1,1,0
2021,519222,1.505,45.014059562726054,34.163,28.8,0,1,1,0
2021,519390,NA,35.40988369586081,42.139,29.8,0,1,0,0
2021,519390,NA,29.116855417816478,49.495,26.4,0,1,0,0
2021,519390,NA,48.84147988151444,29.866,27.6,0,1,0,0
2021,519390,1.579,55.120310538601906,23.963,29.3,1,0,1,0
2021,519390,1.527,47.461969325183254,31.51,29.3,0,1,1,0
2021,519390,1.511,45.65034902008399,32.358,27.8,0,1,1,0
2021,519390,NA,37.34253162896413,38.521,29.8,0,1,0,0
2021,519390,1.545,43.42066382091038,35.102,26.5,0,1,1,0
2021,519390,1.536,44.792793722754496,32.577,27.6,0,1,1,0
2021,521692,NA,40.80845295324796,36.574,27.5,0,1,0,0
2021,521692,1.691,47.31957569502047,31.982,25.4,0,1,1,0
2021,521692,NA,46.575043372981845,30.63,27.3,0,1,0,0
