season,runner_id,catcher_id,pop_time,pop_n,sprint_speed,caught
2024,680700,455117,1.97,17,27.9,0
2024,668227,553882,2.04,18,28.1,0
2024,676609,553882,2.04,18,28.3,0
2024,676694,663728,1.95,70,28.9,0
2024,676475,668939,1.96,55,25.5,0
2024,666624,686676,1.85,46,27.3,0
2024,668885,656577,1.96,26,28.3,0
2024,671218,669221,1.95,39,27.9,0
2024,666464,693307,1.94,8,26.9,0
2024,665862,660688,2.06,57,28.6,0
2024,646240,669224,1.98,45,26.5,0
2024,700242,673237,1.97,73,28.1,0
2025,607208,665804,1.98,7,30.3,1
2025,660271,682663,1.99,53,28.0,1
2025,647304,663698,1.99,39,24.4,0
2025,680757,687221,1.93,15,27.3,1
2025,657041,642851,1.96,19,29.3,0
2025,691176,592663,1.86,50,28.7,0
2025,664059,592663,1.86,50,28.9,1
2025,695734,668800,2.0,13,29.1,0
2025,665862,650968,2.0,24,27.6,0
2025,596115,656577,1.9,18,28.6,0
2025,665161,696100,1.95,45,29.6,0
2025,676694,543309,2.03,45,28.2,0
2025,680718,669224,1.97,42,27.7,0
2025,695681,673237,1.95,72,28.4,0
2021,608070,606988,1.96,9,28.1,0
2021,663757,605131,2.06,21,28.8,0
2021,643217,467092,2.01,12,27.6,0
2021,658668,607732,2.03,29,29.2,0
2021,663757,663886,1.97,22,28.8,1
2021,662139,543592,2.01,18,28.4,0
2021,519203,680777,2.03,34,25.2,0
2022,669289,543309,1.95,22,27.0,0
2022,669397,595978,1.95,39,27.7,0
2022,643396,521692,1.99,18,28.4,1
2022,642456,606992,1.95,29,28.5,0
2022,543829,621512,1.96,30,28.4,0
2022,673357,669257,1.93,32,27.9,0
2022,663993,595978,1.95,39,27.1,1
2022,623912,624431,1.99,29,28.1,1
2022,663697,621512,1.96,30,27.7,1
2022,666969,669221,1.89,33,27.9,0
2022,621439,641680,1.99,46,29.1,0
2023,624414,641511,1.99,27,27.7,0
2023,671739,668800,2.01,33,28.8,0
2023,663538,542194,1.87,39,28.5,0
2023,671221,669257,1.91,56,28.7,0
2023,670770,660688,2.06,64,28.3,0
2023,681082,642336,1.95,24,28.8,0
2023,680777,691016,1.97,8,26.5,0
2023,656716,543228,1.99,45,28.5,0
2023,609280,660688,2.06,64,27.7,0
2023,668715,668670,1.95,30,28.4,0
2023,657041,518595,1.97,39,29.3,0
2023,592885,672515,1.9,33,28.1,0
2024,660162,595978,1.94,19,26.8,0
2024,643289,518595,1.98,37,27.3,0
2024,668939,660688,2.06,57,26.6,0
2024,678882,672386,2.0,55,28.8,0
2024,671277,686780,1.93,39,27.2,1
2024,680474,543510,1.98,38,27.8,0
2024,682829,608348,1.97,51,30.0,0
2024,673357,518735,2.09,31,28.8,0
2024,595281,669127,1.91,70,28.7,1
2024,573262,669127,1.91,70,27.2,1
2024,687401,666310,1.97,38,28.7,0
2024,596115,686482,1.87,6,28.1,0
2024,676609,657136,1.95,46,28.3,0
2024,682622,665804,2.04,50,28.8,1
2025,694384,671056,2.0,6,26.0,0
2025,692225,623168,1.92,38,27.2,1
2025,694671,605131,2.11,11,28.9,0
2025,682829,668939,1.94,29,29.1,0
2025,641343,668939,1.94,29,27.1,0
2025,666139,673237,1.95,72,28.1,0
2025,693304,605170,2.05,28,28.9,1
2025,681082,608348,1.95,39,28.8,1
2025,668227,543877,1.94,39,27.7,1
2025,669450,645444,2.0,25,28.3,0
2025,596146,665966,1.92,63,27.0,0
2025,681082,543309,2.03,45,28.8,0
2021,595879,607732,2.03,29,28.5,0
2021,642708,620443,2.0,9,29.5,0
2021,571980,621512,1.94,16,27.7,0
2021,607680,656180,1.98,13,27.6,0
2021,609275,664874,2.04,13,28.4,0
2022,502054,553882,2.01,23,27.9,0
