season,game_pk,at_bat_index,original_runner_id,inning,half,batting_score_diff,outs,expected_future_pa,future_defensive_half_innings
2022,663269,44,502110,5,bottom,0,1,2.0,4
2022,663329,75,606466,9,bottom,0,2,0.0,1
2022,663329,19,621020,3,top,-1,2,3.0,8
2022,663383,45,571970,6,top,0,2,1.0,3
2022,663394,36,607043,6,top,0,0,2.0,5
2022,663394,34,656976,5,bottom,0,1,2.0,5
2022,663399,19,502110,3,top,1,2,2.0,7
2022,663406,53,669701,7,top,-2,2,1.0,2
2022,663406,57,660271,7,bottom,2,2,0.0,2
2023,716407,51,665161,6,top,1,2,2.0,4
2023,716444,2,669242,1,top,0,1,3.0,8
2023,716473,20,676801,2,bottom,-2,2,3.0,7
2022,663269,30,502110,3,bottom,-2,2,3.0,6
2022,663323,2,607208,1,top,0,1,4.0,9
2022,663346,18,571466,3,top,0,2,3.0,7
2022,663362,39,621043,6,top,1,1,1.0,4
2022,663377,24,660271,3,bottom,1,1,2.0,6
2022,663383,20,607208,3,top,3,1,2.0,6
2022,663406,32,666176,4,bottom,1,2,2.0,5
2023,716356,7,621545,1,bottom,0,2,4.0,10
2022,663376,29,462101,4,top,-2,1,2.0,5
2022,663383,19,607208,3,top,3,0,2.0,6
2021,634295,36,592444,5,top,0,2,2.0,4
2021,634295,14,645801,2,bottom,0,1,3.0,7
2021,634306,64,476704,7,bottom,0,2,0.0,2
2021,634306,28,519048,3,bottom,2,2,2.0,6
2021,634334,71,650490,9,top,2,2,0.0,1
2021,634334,63,595281,8,top,2,2,0.0,2
2021,634343,58,668227,8,bottom,-1,1,0.0,1
2021,634415,48,663586,6,bottom,2,2,1.0,3
2021,634508,23,571745,4,top,-1,0,3.0,7
2021,634508,50,572122,7,top,0,2,2.0,4
2021,634532,34,571875,5,top,1,1,1.0,3
2021,634590,61,642715,8,top,2,1,1.0,5
2021,634607,12,672386,2,top,3,1,3.0,8
2021,634308,3,592192,1,top,0,2,3.0,8
2021,634396,25,467793,4,bottom,0,1,2.0,5
2021,634607,17,457803,2,bottom,-3,2,3.0,7
2021,634308,15,650490,2,bottom,0,1,3.0,7
2021,634308,14,650490,2,bottom,0,0,3.0,7
2021,632207,18,660670,2,bottom,2,2,3.0,7
2021,632256,38,663757,6,top,-1,2,2.0,5
2021,632259,20,677551,3,top,2,1,4.0,7
2021,632259,14,642336,2,top,2,2,4.0,8
2021,632346,20,642715,3,bottom,0,1,2.0,6
2021,632365,53,546318,6,bottom,2,2,1.0,3
2021,632371,30,676801,5,top,-1,0,2.0,4
2021,632402,17,520471,2,bottom,0,2,3.0,8
2021,632237,3,594838,1,top,1,1,4.0,9
2021,632278,26,656976,3,top,2,2,3.0,7
2021,632317,13,600474,2,bottom,-1,1,3.0,7
2021,632381,22,458731,3,bottom,-1,0,3.0,6
2021,632443,58,641933,7,bottom,3,0,0.0,2
2021,632278,29,596103,3,bottom,-2,0,3.0,6
2021,632317,42,642721,6,bottom,-2,1,1.0,3
2021,632211,17,516782,2,top,0,2,4.0,8
2024,746676,6,668715,1,bottom,0,2,3.0,8
2024,746710,2,605141,1,top,0,1,3.0,8
2024,746713,37,663697,4,bottom,-1,2,2.0,5
2024,746725,45,593160,6,top,1,0,1.0,3
2024,746725,78,687952,8,bottom,3,2,0.0,1
2024,746754,36,672820,4,bottom,1,1,2.0,5
2024,746821,13,683734,2,bottom,0,1,2.0,7
2024,746865,38,641355,5,bottom,1,2,1.0,4
2024,746865,19,543228,3,bottom,0,0,3.0,6
2024,746606,66,680757,7,bottom,-3,1,1.0,2
2024,746752,37,666150,4,bottom,-1,2,2.0,5
2024,746907,7,646240,1,bottom,-1,2,3.0,8
2024,746713,11,606192,2,top,-3,0,4.0,7
2024,746921,56,641680,7,top,-2,0,1.0,4
2024,746921,8,608701,1,bottom,0,2,5.0,9
2023,717238,14,643565,2,top,3,2,4.0,8
2023,717313,19,645277,3,top,1,0,2.0,7
2023,717313,12,669221,2,top,-1,2,3.0,8
2023,717313,26,686894,3,bottom,-3,2,2.0,6
2023,717399,73,691016,8,bottom,-2,0,0.0,1
2023,717417,9,660821,2,top,0,0,3.0,7
2023,717418,33,596142,5,top,2,0,2.0,5
2023,717493,13,668715,2,top,0,2,5.0,8
2023,717515,49,663457,7,top,1,1,1.0,2
2023,717537,22,672580,2,bottom,2,0,2.0,7
2023,717537,58,680118,7,bottom,2,0,0.0,2
2023,717546,18,642708,3,top,2,2,3.0,7
2023,717575,31,608348,4,bottom,2,2,2.0,5
2023,717599,28,408234,4,top,2,2,2.0,5
2023,717603,56,457705,6,bottom,2,0,1.0,3
2023,717642,35,630105,5,bottom,1,1,3.0,4
2023,717238,17,641933,2,bottom,-3,1,3.0,7
2023,717402,23,680757,3,top,-2,2,2.0,6
2023,717595,19,665923,3,bottom,1,1,2.0,6
2023,717603,36,595978,4,bottom,2,0,2.0,5
2023,717399,54,680869,6,bottom,-1,1,1.0,3
2023,717424,19,462101,3,bottom,1,1,3.0,7
2025,776479,61,687462,7,bottom,3,2,0.0,2
2025,776537,43,608070,6,bottom,1,2,1.0,3
2025,776545,40,691406,5,top,2,2,2.0,5
2025,776545,44,656180,5,bottom,-2,2,2.0,4
2025,776564,53,666185,7,bottom,0,0,1.0,2
2025,776581,24,805300,3,bottom,0,2,3.0,6
2025,776636,40,660271,6,top,-1,1,1.0,3
2025,776675,65,543760,9,top,-3,2,0.0,0
2025,776685,28,682985,4,bottom,0,0,2.0,6
2025,776707,2,668227,1,top,0,1,4.0,8
2025,776707,11,624413,2,bottom,0,0,4.0,7
2025,776707,44,643446,5,bottom,2,1,2.0,4
2025,776730,25,682998,4,top,-2,1,2.0,5
2025,776761,70,666185,9,bottom,0,2,0.0,0
2025,776481,31,677942,4,bottom,-2,1,2.0,5
2025,776545,3,650490,1,top,0,2,3.0,9
2025,776552,30,656941,4,bottom,-1,0,2.0,5
2025,776707,15,683146,2,bottom,3,1,3.0,7
2025,776730,59,606466,8,top,-1,1,0.0,1
2025,776730,31,691720,4,bottom,0,1,2.0,5
2025,776479,43,687462,5,bottom,2,2,1.0,4
2025,776670,16,650968,3,top,-1,0,3.0,6
2025,776735,15,680718,2,bottom,-3,0,3.0,7
2025,776761,53,666185,7,bottom,2,2,1.0,2
2025,776479,27,687462,3,bottom,2,1,2.0,6
2025,776479,26,687462,3,bottom,2,0,2.0,6
2025,777852,59,592206,8,top,-1,0,1.0,2
2025,777918,54,592626,6,bottom,3,2,1.0,3
2025,777927,67,665966,9,top,0,0,0.0,1
2025,777955,6,686668,1,bottom,-1,0,4.0,8
2025,777955,4,657757,1,top,1,2,3.0,8
2025,778062,23,683002,3,bottom,0,2,3.0,6
2025,778062,71,663624,8,bottom,-3,0,0.0,1
2025,778098,27,666160,4,top,0,2,2.0,6
2025,778111,71,678246,8,bottom,-2,2,0.0,1
2025,778143,59,669127,8,top,1,1,0.0,2
2025,778143,17,680474,3,top,0,0,3.0,7
2025,778244,47,608385,6,bottom,2,0,1.0,3
2025,778244,20,621438,3,bottom,1,1,3.0,6
2025,778251,58,543760,8,bottom,-1,2,0.0,1
2025,778307,45,596019,6,top,-2,2,2.0,3
2025,778307,50,666397,6,bottom,3,2,1.0,3
2025,777918,6,592626,1,bottom,2,0,4.0,8
2025,777918,27,666969,3,bottom,3,1,3.0,6
2025,778111,10,641943,1,bottom,-2,1,4.0,8
2025,778143,24,669127,4,top,0,0,2.0,6
2025,778143,1,805779,1,top,0,0,4.0,9
2025,778307,66,680777,8,bottom,3,0,0.0,1
2025,778059,20,682998,3,top,2,1,4.0,8
2025,778111,39,661388,5,top,1,1,2.0,5
2025,777852,44,624641,6,top,-1,2,2.0,4
2025,778234,22,641680,3,bottom,0,1,2.0,6
2024,745454,23,669364,3,top,-3,2,2.0,6
2024,745459,73,650559,9,bottom,-1,1,0.0,0
2024,745571,38,664761,5,bottom,3,1,2.0,4
2024,745571,52,643446,7,top,0,0,1.0,3
2024,745591,38,678662,5,top,-3,1,2.0,4
2024,745637,67,663624,9,top,2,0,0.0,1
2024,745673,23,668804,3,top,-1,0,2.0,6
2024,745692,19,668804,3,top,0,1,2.0,7
2024,745487,13,642133,2,bottom,0,0,3.0,8
2024,745495,24,681624,3,top,3,1,3.0,7
2024,745512,58,642715,7,top,-1,1,1.0,3
2024,745539,20,682928,3,top,-1,2,3.0,7
2024,745637,64,691016,8,bottom,-2,1,0.0,1
2024,745673,17,647351,2,bottom,0,0,3.0,7
2024,745387,41,686668,6,top,-1,0,2.0,4
2024,745432,7,630105,1,bottom,0,2,4.0,8
2024,745600,31,664761,4,bottom,2,2,2.0,6
2024,745692,12,656582,2,top,0,1,3.0,8
2024,745432,58,701538,6,bottom,-3,1,1.0,3
2021,633934,45,666969,7,top,-2,2,1.0,2
2021,633956,45,643376,6,top,3,1,1.0,4
2021,633956,42,640449,5,bottom,-3,2,2.0,4
2021,633962,18,595777,3,top,2,2,2.0,7
2021,633966,13,545341,2,top,-2,0,4.0,5
2021,633981,67,408234,8,bottom,-1,0,1.0,1
2021,634074,24,664913,3,bottom,3,2,2.0,6
2021,634080,6,664247,1,bottom,-2,0,3.0,8
2021,634080,20,657656,3,top,2,2,2.0,6
