outs,r1,r2,r3,to_outs,to_r1,to_r2,to_r3,runs,n
1,1,0,1,2,1,0,0,1,1390
1,0,0,1,2,0,0,0,1,1171
1,0,1,0,1,0,1,0,1,970
1,0,1,0,2,0,0,1,0,3683
1,0,1,1,1,1,1,1,0,771
1,1,1,1,1,1,1,0,2,265
0,1,0,0,0,0,1,1,0,1632
0,0,1,1,1,0,1,0,1,209
1,1,0,1,2,1,1,0,0,129
2,0,1,0,2,1,0,1,0,872
1,0,1,1,3,0,0,0,0,80
1,0,0,1,1,1,0,1,0,572
1,1,0,0,1,0,0,0,2,1905
1,1,0,1,1,1,1,1,0,748
1,1,1,0,2,0,1,0,1,127
1,1,1,0,2,0,0,1,1,107
1,1,0,1,1,0,0,0,3,235
0,0,1,1,0,0,0,0,3,78
1,0,1,1,2,1,0,1,0,161
2,1,1,1,2,0,1,1,2,221
0,1,1,0,2,1,0,0,0,105
0,0,0,1,0,0,1,0,1,64
2,1,1,1,3,0,0,0,2,69
2,1,1,1,2,1,0,0,3,19
1,1,1,0,2,0,0,0,2,18
0,1,1,0,0,1,0,0,2,19
0,1,1,0,3,0,0,0,0,19
2,1,0,1,3,0,0,0,2,27
0,1,0,1,0,1,0,0,2,7
0,1,1,1,2,1,0,0,1,10
1,1,1,1,2,0,0,0,3,4
0,0,1,1,2,0,0,0,1,5
1,1,1,1,3,0,0,0,4,1
0,0,0,0,2,0,0,0,0,1
2,0,1,1,2,0,1,1,1,2
2,1,1,0,3,0,0,0,0,16965
0,0,0,0,1,0,0,0,0,139015
1,0,0,0,2,0,0,0,0,102187
2,0,0,0,3,0,0,0,0,81840
0,1,0,0,0,1,0,1,0,1955
1,1,1,0,3,0,0,0,0,2463
1,1,0,0,1,1,0,1,0,2572
1,1,0,0,1,1,0,0,1,257
1,0,1,1,1,1,0,1,1,475
0,0,0,0,0,0,1,0,0,9477
1,1,1,0,1,1,1,1,0,3150
2,0,0,1,2,0,0,0,2,277
1,1,1,0,1,0,0,0,3,640
2,0,0,1,2,1,0,0,1,1340
1,1,0,0,1,0,1,0,1,906
1,1,1,0,1,0,1,0,2,314
1,0,1,0,3,0,0,0,0,269
1,0,0,1,2,0,0,1,0,1942
2,1,1,0,2,0,1,1,1,613
0,0,1,0,0,1,0,1,0,1096
0,0,1,1,0,1,1,1,0,248
0,0,1,1,1,0,1,1,0,966
1,0,0,1,2,0,1,0,0,27
2,0,1,1,2,1,0,0,2,546
0,1,1,1,2,1,1,0,0,10
0,1,1,1,0,1,1,0,2,123
2,1,1,0,2,1,0,1,1,1253
2,0,0,1,3,0,0,0,1,138
1,1,1,1,2,0,1,1,1,369
2,1,0,1,2,0,1,1,1,240
0,1,0,1,1,0,0,1,1,46
1,1,0,1,3,0,0,0,1,88
