steal,inning,half,batting_score_diff,outs,hold_we,success_we,caught_we,we_break_even_success,elite_90_we_gain,primary_success_probability,max_replacement_cost_wpa,adverse_battery_success_probability,adverse_battery_we_gain,re_break_even_success,elite_90_run_gain,max_replacement_cost_ubr_runs,max_replacement_cost_war,worth_before_replacement_cost
1B_to_2B,1,top,-3,0,0.212579,0.236581,0.152392,0.714906,0.015583,0.931467,0.018232,0.900000,0.015583,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,top,-3,1,0.177066,0.192709,0.136717,0.720613,0.010044,0.931467,0.011806,0.900000,0.010044,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,top,-3,2,0.148805,0.158771,0.126743,0.688838,0.006763,0.931467,0.007771,0.900000,0.006763,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,top,-2,0,0.313107,0.330246,0.253864,0.775624,0.009500,0.931467,0.011904,0.900000,0.009500,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,top,-2,1,0.279088,0.289490,0.239750,0.790866,0.005428,0.931467,0.006993,0.900000,0.005428,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,top,-2,2,0.252215,0.258332,0.231528,0.771775,0.003437,0.931467,0.004280,0.900000,0.003437,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,top,-1,0,0.396030,0.424599,0.324709,0.713995,0.018580,0.931467,0.021723,0.900000,0.018580,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,top,-1,1,0.355147,0.373844,0.305584,0.726095,0.011871,0.931467,0.014019,0.900000,0.011871,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,top,-1,2,0.321150,0.332954,0.293230,0.702848,0.007832,0.931467,0.009082,0.900000,0.007832,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,top,0,0,0.510075,0.536925,0.446281,0.703779,0.017786,0.931467,0.020638,0.900000,0.017786,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,top,0,1,0.473732,0.491471,0.428737,0.717232,0.011466,0.931467,0.013440,0.900000,0.011466,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,top,0,2,0.442947,0.454217,0.417210,0.695457,0.007570,0.931467,0.008734,0.900000,0.007570,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,top,1,0,0.613704,0.637119,0.561026,0.692280,0.015806,0.931467,0.018200,0.900000,0.015806,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,top,1,1,0.584077,0.599714,0.546044,0.708645,0.010270,0.931467,0.011959,0.900000,0.010270,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,top,1,2,0.558261,0.568241,0.535983,0.690618,0.006754,0.931467,0.007769,0.900000,0.006754,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,top,2,0,0.699932,0.719975,0.661669,0.656241,0.014212,0.931467,0.016047,0.900000,0.014212,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,top,2,1,0.678659,0.692401,0.649868,0.676906,0.009489,0.931467,0.010827,0.900000,0.009489,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,top,2,2,0.659270,0.668202,0.641485,0.665659,0.006261,0.931467,0.007101,0.900000,0.006261,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,top,3,0,0.766349,0.780761,0.748957,0.546863,0.011231,0.931467,0.012232,0.900000,0.011231,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,top,3,1,0.756189,0.766544,0.742400,0.571120,0.007940,0.931467,0.008700,0.900000,0.007940,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,1,top,3,2,0.746546,0.753611,0.737152,0.570762,0.005419,0.931467,0.005937,0.900000,0.005419,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,1,bottom,-3,0,0.285859,0.313005,0.217634,0.715371,0.017608,0.931467,0.020610,0.900000,0.017608,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,1,bottom,-3,1,0.245932,0.263634,0.199741,0.722939,0.011313,0.931467,0.013323,0.900000,0.011313,0.724120,0.104202,0.122845,0.012540,True
