game_pk,home,maxi,inning,half,runs
776148,MIA,9,1,top,0
776148,MIA,9,1,bottom,0
776148,MIA,9,2,top,0
776148,MIA,9,2,bottom,0
776148,MIA,9,3,top,0
776148,MIA,9,3,bottom,0
776148,MIA,9,4,top,0
776148,MIA,9,4,bottom,4
776148,MIA,9,5,top,0
776148,MIA,9,5,bottom,0
776148,MIA,9,6,top,0
776148,MIA,9,6,bottom,0
776148,MIA,9,7,top,0
776148,MIA,9,7,bottom,0
776148,MIA,9,8,top,0
776148,MIA,9,8,bottom,0
776148,MIA,9,9,top,0
776148,MIA,9,9,bottom,NA
776161,MIA,9,1,top,1
776161,MIA,9,1,bottom,0
776161,MIA,9,2,top,0
776161,MIA,9,2,bottom,0
776161,MIA,9,3,top,1
776161,MIA,9,3,bottom,0
776161,MIA,9,4,top,0
776161,MIA,9,4,bottom,0
776161,MIA,9,5,top,0
776161,MIA,9,5,bottom,0
776161,MIA,9,6,top,1
776161,MIA,9,6,bottom,0
776161,MIA,9,7,top,0
776161,MIA,9,7,bottom,0
776161,MIA,9,8,top,0
776161,MIA,9,8,bottom,0
776161,MIA,9,9,top,2
776161,MIA,9,9,bottom,0
776173,MIA,9,1,top,2
776173,MIA,9,1,bottom,0
776173,MIA,9,2,top,0
776173,MIA,9,2,bottom,0
776173,MIA,9,3,top,0
776173,MIA,9,3,bottom,0
776173,MIA,9,4,top,0
776173,MIA,9,4,bottom,0
776173,MIA,9,5,top,0
776173,MIA,9,5,bottom,6
776173,MIA,9,6,top,0
776173,MIA,9,6,bottom,0
776173,MIA,9,7,top,0
776173,MIA,9,7,bottom,0
776173,MIA,9,8,top,0
776173,MIA,9,8,bottom,0
776173,MIA,9,9,top,0
776173,MIA,9,9,bottom,NA
776188,PHI,9,1,top,0
776188,PHI,9,1,bottom,1
776188,PHI,9,2,top,0
776188,PHI,9,2,bottom,0
776188,PHI,9,3,top,0
776188,PHI,9,3,bottom,0
776188,PHI,9,4,top,0
776188,PHI,9,4,bottom,0
776188,PHI,9,5,top,0
776188,PHI,9,5,bottom,0
776188,PHI,9,6,top,0
776188,PHI,9,6,bottom,0
776188,PHI,9,7,top,0
776188,PHI,9,7,bottom,0
776188,PHI,9,8,top,0
776188,PHI,9,8,bottom,0
776188,PHI,9,9,top,0
776188,PHI,9,9,bottom,NA
776201,PHI,9,1,top,0
776201,PHI,9,1,bottom,0
776201,PHI,9,2,top,1
776201,PHI,9,2,bottom,0
776201,PHI,9,3,top,0
776201,PHI,9,3,bottom,1
776201,PHI,9,4,top,0
776201,PHI,9,4,bottom,2
776201,PHI,9,5,top,0
776201,PHI,9,5,bottom,3
776201,PHI,9,6,top,0
776201,PHI,9,6,bottom,0
776201,PHI,9,7,top,0
776201,PHI,9,7,bottom,5
776201,PHI,9,8,top,0
776201,PHI,9,8,bottom,0
776201,PHI,9,9,top,0
776201,PHI,9,9,bottom,NA
776215,PHI,11,1,top,0
776215,PHI,11,1,bottom,1
776215,PHI,11,2,top,0
776215,PHI,11,2,bottom,2
776215,PHI,11,3,top,0
776215,PHI,11,3,bottom,0
776215,PHI,11,4,top,0
776215,PHI,11,4,bottom,0
776215,PHI,11,5,top,0
776215,PHI,11,5,bottom,0
776215,PHI,11,6,top,0
776215,PHI,11,6,bottom,0
776215,PHI,11,7,top,0
776215,PHI,11,7,bottom,0
776215,PHI,11,8,top,2
776215,PHI,11,8,bottom,0
776215,PHI,11,9,top,1
776215,PHI,11,9,bottom,0
776215,PHI,11,10,top,2
776215,PHI,11,10,bottom,2
