game_pk,inning,half,outs,score_diff,pre,actual_rest
776188,9,top,2,-1,0,0
776215,9,top,1,0,1,0
776226,6,top,0,3,0,0
776242,9,top,1,2,0,0
776251,7,top,0,0,1,0
776277,6,top,0,0,0,1
776293,6,top,0,3,0,3
776386,8,bottom,1,2,0,3
776426,6,bottom,0,1,0,0
776535,7,top,0,0,0,1
776558,6,top,0,0,0,0
776600,7,bottom,0,1,0,0
776614,8,bottom,1,2,0,0
776630,9,bottom,0,-1,0,1
776670,8,bottom,0,3,0,1
776714,7,top,0,-1,0,0
776745,7,top,0,-1,0,0
776778,6,top,0,0,0,0
776849,6,bottom,0,2,0,0
776910,8,bottom,1,2,0,0
776934,9,top,2,2,0,0
776978,6,top,0,1,0,0
777008,7,top,0,0,0,4
777037,8,bottom,0,1,0,0
777052,8,bottom,1,2,0,1
777062,8,bottom,0,-1,0,0
777093,8,bottom,0,0,0,2
777109,7,bottom,0,1,0,0
777141,9,top,2,2,0,4
777208,6,top,0,1,0,2
777224,7,bottom,0,-1,0,0
777238,8,bottom,0,0,0,2
777254,9,bottom,2,-1,0,0
777263,7,bottom,0,3,0,0
777275,9,bottom,1,-1,0,0
777293,8,bottom,0,1,0,1
777303,7,top,0,-1,0,0
777318,9,top,0,-1,0,1
777332,9,top,1,2,0,2
777347,8,top,0,3,0,4
777355,7,top,0,0,0,0
777364,8,top,0,2,0,0
777439,6,bottom,0,3,0,1
777444,9,bottom,1,-1,0,0
777481,8,bottom,0,3,0,2
777503,7,top,0,1,0,1
777514,6,top,0,0,0,1
777530,8,top,0,1,0,3
777611,8,top,1,0,0,0
777625,8,top,1,-1,2,0
777666,6,bottom,0,0,0,0
777705,8,bottom,1,1,0,0
777726,8,top,0,-1,0,3
777742,7,top,0,-1,0,0
777767,8,top,0,3,0,0
777781,6,top,0,2,0,0
777833,7,bottom,0,0,0,0
777877,6,bottom,0,2,0,2
777903,6,bottom,0,1,0,4
777936,6,top,0,0,0,0
777966,6,top,0,0,0,0
777978,8,top,0,0,0,2
777991,7,top,0,0,1,0
778035,7,bottom,0,0,0,0
778132,9,top,0,0,0,0
778354,8,bottom,1,1,0,0
778369,7,bottom,0,2,0,0
778390,8,top,1,2,0,0
778416,8,top,1,-1,0,0
778481,8,bottom,0,0,0,0
778539,9,bottom,0,0,0,0
