outs,r1,r2,r3,exp_runs,n
2,1,1,1,0.8069091741020361,8742
2,1,1,0,0.46164047743439296,24883
1,0,0,0,0.266850664285521,147828
1,1,0,0,0.5307888382076738,59632
1,1,1,0,0.9433777908056085,20469
0,0,1,0,1.1400071890726096,11128
2,0,0,1,0.3724525650035137,9961
2,0,1,1,0.5936222403924775,6115
2,1,0,0,0.23328081525929403,59662
0,1,0,0,0.9026097763048881,48280
1,0,1,1,1.4209964412811389,5620
0,0,0,0,0.5013644744929318,203375
0,1,1,1,2.411596958174905,3156
1,0,1,0,0.6942368984795444,19139
0,1,0,1,1.8283261802575108,3961
2,1,0,1,0.5127222312836405,12262
2,0,0,0,0.10177543961040617,117661
2,0,1,0,0.3327189678660149,24958
1,1,1,1,1.632617273125822,6843
1,1,0,1,1.1945635010151139,8866
1,0,0,1,0.967842134112918,5473
0,0,1,1,2.033061224489796,2450
0,1,1,0,1.5300356354997455,11786
0,0,0,1,1.332813717848792,1283
