inning,half,outs,n,smoothed_cost
1,bottom,0,3257,0.26085256101887166
1,bottom,1,3748,0.2574373871009808
1,bottom,2,3697,0.24306582284204678
1,top,0,2914,0.2780560903927897
1,top,1,3620,0.27607488679873005
1,top,2,3650,0.2598594111634786
2,bottom,0,2893,0.18407042141305804
2,bottom,1,3428,0.1732346140068884
2,bottom,2,3417,0.1644396193698462
2,top,0,2780,0.19290437091546622
2,top,1,3397,0.18387797766690941
2,top,2,3284,0.1798738590924051
3,bottom,0,2546,0.1662554847110781
3,bottom,1,3234,0.16816494660956927
3,bottom,2,3206,0.16637108053517777
3,top,0,2585,0.1789627112175659
3,top,1,3252,0.17902063429176782
3,top,2,3289,0.17704308661466336
4,bottom,0,2463,0.1402641399392878
4,bottom,1,2973,0.12955200001576342
4,bottom,2,2892,0.12289874882515144
4,top,0,2384,0.1584218166469555
4,top,1,3036,0.144538330670087
4,top,2,2993,0.13371288955479693
5,bottom,0,2214,0.10452500206788805
5,bottom,1,2762,0.10242531524309356
5,bottom,2,2719,0.09833327491426828
5,top,0,2321,0.12330187957641182
5,top,1,2857,0.11817962382206927
5,top,2,2793,0.11466915916681301
6,bottom,0,2241,0.079682959083569
6,bottom,1,2633,0.07383070507198874
6,bottom,2,2589,0.0696278393619345
6,top,0,2228,0.09530577954886925
6,top,1,2697,0.0881671901248273
6,top,2,2590,0.08200597157634433
7,bottom,0,2085,0.052269368830045085
7,bottom,1,2537,0.0465721695070502
7,bottom,2,2422,0.040423383032938555
7,top,0,2030,0.07050749295273756
7,top,1,2558,0.06404119847778815
7,top,2,2382,0.05835193408204555
8,bottom,0,1956,0.021506051771551175
8,bottom,1,2327,0.017819027282662336
8,bottom,2,2199,0.016799682036868404
8,top,0,1865,0.036830766770311635
8,top,1,2307,0.02931068511255035
8,top,2,2312,0.0239306900971232
9,bottom,0,1025,0.011520656033177144
9,bottom,1,1165,0.010000903514014076
9,bottom,2,1174,0.008554436994097778
9,top,0,1749,0.011437332828946774
9,top,1,2140,0.010322820005195459
9,top,2,2077,0.009728758895500724
